image_name,sample_name,year,station,sample,stage,ind,length,calanus_type
2018_AT_p120_9.tif,AT_p120,2018,AT,p120,CVIF,9,2.76,NA
2018_AT_p120_10.tif,AT_p120,2018,AT,p120,CVIF,10,3.05,NA
2018_AR_p21_1.tif,AR_p21,2018,AR,p21,CV,1,3.22,NA
2018_AR_p21_2.tif,AR_p21,2018,AR,p21,CV,2,3.12,NA
2018_AR_p21_3.tif,AR_p21,2018,AR,p21,CV,3,3.19,NA
2018_AR_p21_4.tif,AR_p21,2018,AR,p21,CV,4,2.97,NA
2018_AR_p21_5.tif,AR_p21,2018,AR,p21,CV,5,3.09,NA
2018_AR_p21_6.tif,AR_p21,2018,AR,p21,CV,6,3.08,NA
2018_AR_p21_7.tif,AR_p21,2018,AR,p21,CV,7,3.12,NA
2018_AR_p21_8.tif,AR_p21,2018,AR,p21,CV,8,3.24,NA
2018_AR_p21_9.tif,AR_p21,2018,AR,p21,CV,9,2.89,NA
2018_AR_p21_10.tif,AR_p21,2018,AR,p21,CV,10,2.98,NA
2018_AR_p22_1.tif,AR_p22,2018,AR,p22,CV,1,2.84,NA
2018_AR_p22_2.tif,AR_p22,2018,AR,p22,CV,2,3.38,NA
2018_AR_p22_3.tif,AR_p22,2018,AR,p22,CV,3,2.97,NA
2018_AR_p22_4.tif,AR_p22,2018,AR,p22,CV,4,3.08,NA
2018_AR_p22_5.tif,AR_p22,2018,AR,p22,CV,5,3.32,NA
2018_AR_p22_6.tif,AR_p22,2018,AR,p22,CV,6,3.06,NA
2018_AR_p22_7.tif,AR_p22,2018,AR,p22,CV,7,2.89,NA
2018_AR_p22_8.tif,AR_p22,2018,AR,p22,CV,8,2.76,NA
2018_AR_p22_9.tif,AR_p22,2018,AR,p22,CV,9,3.08,NA
2018_AR_p22_10.tif,AR_p22,2018,AR,p22,CV,10,2.96,NA
2018_AR_p23_1.tif,AR_p23,2018,AR,p23,CV,1,3.08,NA
2018_AR_p23_2.tif,AR_p23,2018,AR,p23,CV,2,2.99,NA
2018_AR_p23_3.tif,AR_p23,2018,AR,p23,CV,3,3.04,NA
2018_AR_p23_4.tif,AR_p23,2018,AR,p23,CV,4,2.97,NA
2018_AR_p23_5.tif,AR_p23,2018,AR,p23,CV,5,2.94,NA
2018_AR_p23_6.tif,AR_p23,2018,AR,p23,CV,6,2.61,NA
2018_AR_p23_7.tif,AR_p23,2018,AR,p23,CV,7,2.79,NA
2018_AR_p23_8.tif,AR_p23,2018,AR,p23,CV,8,3.04,NA
2018_AR_p23_9.tif,AR_p23,2018,AR,p23,CV,9,3.2,NA
2018_AR_p23_10.tif,AR_p23,2018,AR,p23,CV,10,2.93,NA
2018_AR_p24_1.tif,AR_p24,2018,AR,p24,CV,1,2.24,NA
2018_AR_p24_2.tif,AR_p24,2018,AR,p24,CV,2,2.4,NA
2018_AR_p24_3.tif,AR_p24,2018,AR,p24,CV,3,2.27,NA
2018_AR_p24_4.tif,AR_p24,2018,AR,p24,CV,4,2.36,NA
2018_AR_p24_5.tif,AR_p24,2018,AR,p24,CV,5,2.28,NA
2018_AR_p24_6.tif,AR_p24,2018,AR,p24,CV,6,2.31,NA
2018_AR_p24_7.tif,AR_p24,2018,AR,p24,CV,7,2.38,NA
2018_AR_p24_8.tif,AR_p24,2018,AR,p24,CV,8,2.4,NA
2018_AR_p24_9.tif,AR_p24,2018,AR,p24,CV,9,2.38,NA
2018_AR_p24_10.tif,AR_p24,2018,AR,p24,CV,10,2.52,NA
2018_AR_p25_1.tif,AR_p25,2018,AR,p25,CV,1,2.3,NA
2018_AR_p25_2.tif,AR_p25,2018,AR,p25,CV,2,2.3,NA
2018_AR_p25_3.tif,AR_p25,2018,AR,p25,CV,3,2.35,NA
2018_AR_p25_4.tif,AR_p25,2018,AR,p25,CV,4,2.43,NA
2018_AR_p25_5.tif,AR_p25,2018,AR,p25,CV,5,2.8,NA
2018_AR_p25_6.tif,AR_p25,2018,AR,p25,CV,6,2.33,NA
2018_AR_p25_7.tif,AR_p25,2018,AR,p25,CV,7,2.27,NA
2018_AR_p25_8.tif,AR_p25,2018,AR,p25,CV,8,2.32,NA
2018_AR_p25_9.tif,AR_p25,2018,AR,p25,CV,9,2.43,NA
2018_AR_p25_10.tif,AR_p25,2018,AR,p25,CV,10,2.46,NA
