img_name,redness_index,red_pixels_nb
2018_AT_p102_10.tif,113.5104020275549,41531
2018_AT_p102_2.tif,90.59036226265692,33449
2018_AT_p102_3.tif,53.219895111421295,19796
2018_AT_p102_4.tif,98.10397215012111,35968
2018_AT_p102_5.tif,100.1638747508325,36158
2018_AT_p102_6.tif,127.10903652468676,47950
2018_AT_p102_7.tif,89.00620352605155,33575
2018_AT_p102_8.tif,80.4056032565422,30008
2018_AT_p102_9.tif,43.26180825807983,16316
2018_AT_p103_1.tif,19.78243254307157,7498
2018_AT_p103_10.tif,124.25647018563461,45071
2018_AT_p103_2.tif,62.269390383445455,22691
2018_AT_p103_3.tif,60.09706198375839,21815
2018_AT_p103_4.tif,88.65181974174558,33108
2018_AT_p103_5.tif,104.693273195071,39206
2018_AT_p103_6.tif,55.54322251165528,20503
2018_AT_p103_7.tif,116.92534707735403,42977
2018_AT_p103_8.tif,30.481941960978606,10967
2018_AT_p103_9.tif,52.371680425015654,19516
2018_AT_p104_1.tif,89.80117097010509,32836
2018_AT_p104_10.tif,54.17717337700612,20142
2018_AT_p104_2.tif,39.715461776125494,14585
2018_AT_p104_3.tif,33.26429490363971,11879
2018_AT_p104_4.tif,286.20533017116253,101633
2018_AT_p104_5.tif,71.98791606289474,26448
2018_AT_p104_6.tif,37.46840841586252,13675
2018_AT_p104_7.tif,70.60318662614823,25582
2018_AT_p104_8.tif,98.81516246301632,36345
2018_AT_p104_9.tif,104.70349261883324,37075
2018_AT_p105_1.tif,59.51787808488279,21713
2018_AT_p105_10.tif,12.64314301532529,4807
2018_AT_p105_2.tif,35.728593489348505,13233
2018_AT_p105_3.tif,30.682014149341608,11479
2018_AT_p105_4.tif,42.0242103548956,16126
2018_AT_p105_5.tif,55.83977778060132,20784
2018_AT_p105_6.tif,33.89456127189543,12865
2018_AT_p105_7.tif,68.50740780499439,24843
2018_AT_p105_8.tif,22.965158221650537,8800
2018_AT_p105_9.tif,28.078421855028655,10580
2018_AT_p116_1.tif,8.844580355353754,3339
2018_AT_p116_10.tif,47.24162147965843,17587
2018_AT_p116_2.tif,34.20235044430886,12226
2018_AT_p116_3.tif,93.93429053600266,33567
2018_AT_p116_4.tif,92.2992857969964,33688
2018_AT_p116_5.tif,48.35671126663038,17525
2018_AT_p116_6.tif,37.12527844964684,13661
2018_AT_p116_7.tif,65.07271642935994,23507
2018_AT_p116_8.tif,24.188375168331667,9109
2018_AT_p116_9.tif,95.79237695578583,34305
2018_AT_p117_1.tif,108.93627371894252,39668
2018_AT_p117_10.tif,35.092636162574784,13010
2018_AT_p117_2.tif,28.103558500399522,10448
2018_AT_p117_3.tif,12.230781463988448,4517
2018_AT_p117_4.tif,161.78721603540473,55475
2018_AT_p117_5.tif,47.9634423321996,17855
2018_AT_p117_6.tif,90.01409998658062,32873
2018_AT_p117_7.tif,11.642588060069913,4343
2018_AT_p117_8.tif,23.97230559082413,8853
2018_AT_p117_9.tif,22.13813900949708,8311
2018_AT_p118_1.tif,2.0817157747910455,826
2018_AT_p118_10.tif,66.75150064325823,24495
2018_AT_p118_2.tif,132.56585653361256,46615
